Wavelength, Intensity
0.516338,0.216933
0.548758,0.282212
0.573032,0.343468
0.593078,0.408856
0.619386,0.46192
0.641093,0.523213
0.657603,0.596828
0.692661,0.670336
0.716762,0.748011
0.754928,0.825614
0.788083,0.907349
0.822893,0.972701
0.882166,1.05023
0.929532,1.09916
0.997027,1.13983
1.06987,1.15183
1.19036,1.10634
1.31308,1.0445
1.41097,0.962298
1.5299,0.867768
1.67378,0.76501
1.89835,0.617054
2.15265,0.481385
2.48485,0.337451
2.84119,0.238608
3.39539,0.139584
4.12782,0.0773492
5.06065,0.0437491
6.25709,0.0346875
8.08786,0.00906153
10.1771,0.00811913
