time,signal
6.35E-01,1.25E+01
2.46E+00,1.48E+01
5.52E+00,3.07E+01
6.77E+00,4.66E+01
1.04E+01,5.22E+01
1.23E+01,6.59E+01
1.53E+01,8.74E+01
1.72E+01,9.99E+01
1.90E+01,1.03E+02
2.08E+01,8.51E+01
2.33E+01,1.23E+02
2.64E+01,1.52E+02
2.69E+01,1.20E+02
3.12E+01,1.54E+02
3.54E+01,1.51E+02
3.73E+01,1.53E+02
4.15E+01,1.74E+02
4.52E+01,1.83E+02
4.70E+01,1.67E+02
4.88E+01,1.88E+02
5.13E+01,1.92E+02
5.36E+01,1.69E+02
5.67E+01,1.74E+02
5.68E+01,2.15E+02
5.97E+01,1.92E+02
6.04E+01,2.10E+02
6.34E+01,1.88E+02
6.57E+01,1.63E+02
6.69E+01,1.50E+02
6.87E+01,1.59E+02
7.29E+01,1.45E+02
7.54E+01,1.54E+02
7.65E+01,1.33E+02
7.95E+01,1.08E+02
8.13E+01,1.11E+02
8.25E+01,8.61E+01
8.43E+01,9.97E+01
8.61E+01,7.92E+01
8.79E+01,9.28E+01
9.03E+01,6.44E+01
9.51E+01,7.24E+01
1.02E+02,6.21E+01
1.05E+02,4.73E+01
1.07E+02,3.94E+01
1.07E+02,4.62E+01
1.10E+02,4.28E+01
1.14E+02,4.28E+01
1.17E+02,4.39E+01
1.21E+02,3.36E+01
1.22E+02,4.27E+01
1.25E+02,2.57E+01
1.27E+02,3.36E+01
1.31E+02,2.91E+01
1.31E+02,2.22E+01
1.37E+02,2.45E+01
1.37E+02,1.77E+01
1.42E+02,1.65E+01
1.45E+02,1.20E+01
1.49E+02,1.88E+01
1.52E+02,1.19E+01
1.56E+02,7.36E+00
1.60E+02,1.64E+01
1.67E+02,1.75E+01
1.70E+02,9.58E+00
1.70E+02,1.64E+01
1.76E+02,5.02E+00
1.78E+02,1.64E+01
1.81E+02,8.41E+00
1.85E+02,1.41E+01
1.88E+02,1.97E+01
1.89E+02,8.38E+00
1.94E+02,8.36E+00
2.01E+02,1.06E+01
2.04E+02,9.45E+00
2.07E+02,6.03E+00
2.11E+02,1.40E+01
2.14E+02,7.14E+00
2.16E+02,2.59E+00
2.19E+02,1.39E+01
2.23E+02,8.25E+00
2.30E+02,1.40E+00
2.35E+02,5.93E+00
2.38E+02,7.05E+00
2.41E+02,3.63E+00
2.46E+02,3.62E+00
2.49E+02,3.60E+00
2.52E+02,5.86E+00
2.56E+02,5.85E+00
2.59E+02,3.56E+00
2.61E+02,1.28E+00
2.66E+02,3.54E+00
2.69E+02,8.07E+00
2.74E+02,1.03E+01
2.75E+02,3.50E+00
2.81E+02,4.62E+00
2.85E+02,2.33E+00
2.92E+02,5.71E+00
2.96E+02,5.70E+00
2.98E+02,9.10E+00
